trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
598,False,"{'a': 0.5, 'e': 0.36608300202062954}",20,7,11.992228036022961,"{0: 12, 1: 1, 2: 0, 3: 0, 4: 0}",1
599,False,"{'a': 0.5, 'e': 0.36422110669062213}",20,0,1.9577875186136147,"{0: 17, 1: 1, 2: 2, 3: 0, 4: 0}",0
600,False,"{'a': 0.5, 'e': 0.3623577544766736}",20,7,-88.61229253474991,"{0: 9, 1: 0, 2: 2, 3: 0, 4: 2}",1
601,False,"{'a': 0.5, 'e': 0.3604929528321903}",20,5,-22.035457915328507,"{0: 12, 1: 0, 2: 2, 3: 1, 4: 0}",1
602,False,"{'a': 0.5, 'e': 0.35862670921637635}",25,19,9.89997284999399,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
603,False,"{'a': 0.5, 'e': 0.35675903109420365}",20,0,2.8508005446248106,"{0: 18, 1: 0, 2: 2, 3: 0, 4: 0}",0
604,False,"{'a': 0.5, 'e': 0.3548899259363823}",25,17,-29.631826774709378,"{0: 6, 1: 0, 2: 0, 3: 2, 4: 0}",1
605,False,"{'a': 0.5, 'e': 0.35301940121933034}",20,0,-47.40945530065476,"{0: 17, 1: 0, 2: 1, 3: 1, 4: 1}",0
606,False,"{'a': 0.5, 'e': 0.3511474644251443}",25,2,-1.8673082378682528,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 0}",1
607,False,"{'a': 0.5, 'e': 0.34927412304156863}",25,17,15.183483305246998,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
608,False,"{'a': 0.5, 'e': 0.34739938456196656}",25,8,-27.270678586000464,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 1}",1
609,False,"{'a': 0.5, 'e': 0.3455232564852894}",20,13,13.958894031601117,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
610,False,"{'a': 0.5, 'e': 0.34364574631604705}",25,10,26.11179411100472,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
611,False,"{'a': 0.5, 'e': 0.3417668615642776}",25,15,8.644504697589555,"{0: 9, 1: 0, 2: 1, 3: 0, 4: 0}",1
612,False,"{'a': 0.5, 'e': 0.3398866097455176}",25,0,-54.78562205565889,"{0: 20, 1: 0, 2: 3, 3: 1, 4: 1}",0
613,False,"{'a': 0.5, 'e': 0.33800499838077175}",25,19,9.695819270837156,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
614,False,"{'a': 0.5, 'e': 0.3361220349964831}",20,0,-18.760563134896216,"{0: 17, 1: 0, 2: 1, 3: 2, 4: 0}",1
615,False,"{'a': 0.5, 'e': 0.3342377271245026}",30,18,-32.86381752137166,"{0: 9, 1: 2, 2: 0, 3: 0, 4: 1}",1
616,False,"{'a': 0.5, 'e': 0.33235208230205926}",20,5,20.586812025290303,"{0: 14, 1: 1, 2: 0, 3: 0, 4: 0}",1
617,False,"{'a': 0.5, 'e': 0.33046510807172985}",30,7,25.703793803430337,"{0: 22, 1: 0, 2: 1, 3: 0, 4: 0}",1
618,False,"{'a': 0.5, 'e': 0.3285768119814088}",20,0,-42.53157027049016,"{0: 17, 1: 1, 2: 0, 3: 1, 4: 1}",0
619,False,"{'a': 0.5, 'e': 0.3266872015842779}",25,0,23.09807178509583,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
620,False,"{'a': 0.5, 'e': 0.32479628443877623}",25,5,-19.975822301759624,"{0: 17, 1: 0, 2: 2, 3: 1, 4: 0}",1
621,False,"{'a': 0.5, 'e': 0.3229040681085699}",30,9,-2.7170853921546296,"{0: 18, 1: 0, 2: 3, 3: 0, 4: 0}",1
622,False,"{'a': 0.5, 'e': 0.32101056016252166}",20,0,-26.04569478181052,"{0: 17, 1: 1, 2: 1, 3: 0, 4: 1}",0
623,False,"{'a': 0.5, 'e': 0.31911576817466075}",20,6,28.254581134041445,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
624,False,"{'a': 0.5, 'e': 0.3172196997241527}",20,9,-3.4379276783069344,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
625,False,"{'a': 0.5, 'e': 0.3153223623952687}",25,0,-35.05594774244826,"{0: 22, 1: 0, 2: 2, 3: 0, 4: 1}",0
